øŒ≥Ã√˚≥∆, ±º‰, ”∆µ±‡∫≈,«È–˜±Í«©
cut_result1c14_20180413_math_4,00:05:40,34,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:05:50,35,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:00,36,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:10,37,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:20,38,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:30,39,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:40,40,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:06:50,41,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:07:00,42,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:07:10,43,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:07:20,44,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:07:30,45,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:07:40,46,surprised-æ™—»
cut_result1c14_20180413_math_4,00:07:50,47,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:08:00,48,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:08:10,49,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:08:20,50,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:08:30,51,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:08:40,52,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:08:50,53,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:09:00,54,surprised-æ™—»
cut_result1c14_20180413_math_4,00:09:10,55,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:09:20,56,surprised-æ™—»
cut_result1c14_20180413_math_4,00:09:30,57,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:09:40,58,surprised-æ™—»
cut_result1c14_20180413_math_4,00:09:50,59,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:10:00,60,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:10:10,61,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:10:20,62,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:10:30,63,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:10:40,64,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:10:50,65,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:11:00,66,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:11:10,67,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:11:20,68,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:11:30,69,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:11:40,70,surprised-æ™—»
cut_result1c14_20180413_math_4,00:11:50,71,surprised-æ™—»
cut_result1c14_20180413_math_4,00:12:00,72,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:12:10,73,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:12:20,74,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:12:30,75,surprised-æ™—»
cut_result1c14_20180413_math_4,00:12:40,76,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:12:50,77,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:13:00,78,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:13:10,79,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:13:20,80,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:13:30,81,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:13:40,82,surprised-æ™—»
cut_result1c14_20180413_math_4,00:13:50,83,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:14:00,84,surprised-æ™—»
cut_result1c14_20180413_math_4,00:14:10,85,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:14:20,86,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:14:30,87,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:14:40,88,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:14:50,89,surprised-æ™—»
cut_result1c14_20180413_math_4,00:15:00,90,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:15:10,91,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:15:20,92,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:15:30,93,surprised-æ™—»
cut_result1c14_20180413_math_4,00:15:40,94,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:15:50,95,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:00,96,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:10,97,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:20,98,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:30,99,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:40,100,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:16:50,101,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:00,102,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:10,103,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:20,104,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:30,105,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:40,106,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:17:50,107,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:00,108,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:10,109,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:20,110,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:30,111,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:40,112,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:18:50,113,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:19:00,114,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:19:10,115,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:19:20,116,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:19:30,117,surprised-æ™—»
cut_result1c14_20180413_math_4,00:19:40,118,surprised-æ™—»
cut_result1c14_20180413_math_4,00:19:50,119,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:20:00,120,surprised-æ™—»
cut_result1c14_20180413_math_4,00:20:10,121,surprised-æ™—»
cut_result1c14_20180413_math_4,00:20:20,122,surprised-æ™—»
cut_result1c14_20180413_math_4,00:20:30,123,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:20:40,124,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:20:50,125,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:21:00,126,surprised-æ™—»
cut_result1c14_20180413_math_4,00:21:10,127,surprised-æ™—»
cut_result1c14_20180413_math_4,00:21:20,128,surprised-æ™—»
cut_result1c14_20180413_math_4,00:21:30,129,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:21:40,130,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:21:50,131,surprised-æ™—»
cut_result1c14_20180413_math_4,00:22:00,132,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:22:10,133,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:22:20,134,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:22:30,135,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:22:40,136,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:22:50,137,surprised-æ™—»
cut_result1c14_20180413_math_4,00:23:00,138,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:23:10,139,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:23:20,140,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:23:30,141,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:23:40,142,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:23:50,143,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:24:00,144,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:24:10,145,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:24:20,146,surprised-æ™—»
cut_result1c14_20180413_math_4,00:24:30,147,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:24:40,148,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:24:50,149,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:25:00,150,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:25:10,151,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:25:20,152,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:25:30,153,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:25:40,154,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:25:50,155,surprised-æ™—»
cut_result1c14_20180413_math_4,00:26:00,156,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:26:10,157,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:26:20,158,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:26:30,159,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:26:40,160,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:26:50,161,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:27:00,162,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:27:10,163,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:27:20,164,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:27:30,165,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:27:40,166,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:27:50,167,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:28:00,168,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:28:10,169,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:28:20,170,surprised-æ™—»
cut_result1c14_20180413_math_4,00:28:30,171,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:28:40,172,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:28:50,173,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:29:00,174,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:29:10,175,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:29:20,176,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:29:30,177,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:29:40,178,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:29:50,179,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:30:00,180,surprised-æ™—»
cut_result1c14_20180413_math_4,00:30:10,181,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:30:20,182,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:30:30,183,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:30:40,184,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:30:50,185,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:31:00,186,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:31:10,187,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:31:20,188,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:31:30,189,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:31:40,190,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:31:50,191,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:32:00,192,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:32:10,193,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:32:20,194,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:32:30,195,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:32:40,196,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:32:50,197,surprised-æ™—»
cut_result1c14_20180413_math_4,00:33:00,198,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:33:10,199,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:33:20,200,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:33:30,201,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:33:40,202,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:33:50,203,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:34:00,204,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:34:10,205,surprised-æ™—»
cut_result1c14_20180413_math_4,00:34:20,206,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:34:30,207,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:34:40,208,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:34:50,209,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:00,210,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:10,211,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:20,212,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:30,213,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:40,214,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:35:50,215,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:36:00,216,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:36:10,217,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:36:20,218,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:36:30,219,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:36:40,220,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:36:50,221,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:37:00,222,surprised-æ™—»
cut_result1c14_20180413_math_4,00:37:10,223,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:37:20,224,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:37:30,225,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:37:40,226,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:37:50,227,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:00,228,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:10,229,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:20,230,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:30,231,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:40,232,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:38:50,233,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:39:00,234,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:39:10,235,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:39:20,236,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:39:30,237,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:39:40,238,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:39:50,239,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:40:00,240,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:40:10,241,fear-ø÷æÂµ£”«
cut_result1c14_20180413_math_4,00:40:20,242,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:40:30,243,surprised-æ™—»
cut_result1c14_20180413_math_4,00:40:40,244,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:40:50,245,surprised-æ™—»
cut_result1c14_20180413_math_4,00:41:00,246,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:41:10,247,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:41:20,248,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:41:30,249,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:41:40,250,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:41:50,251,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:42:00,252,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:42:10,253,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:42:20,254,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:42:30,255,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:42:40,256,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:42:50,257,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:43:00,258,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:43:10,259,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:43:20,260,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:43:30,261,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:43:40,262,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:43:50,263,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:44:00,264,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:44:10,265,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:44:20,266,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:44:30,267,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:44:40,268,angry-∑ﬂ≈≠
cut_result1c14_20180413_math_4,00:44:50,269,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:00,270,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:10,271,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:20,272,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:30,273,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:40,274,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:45:50,275,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:46:00,276,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:46:10,277,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:46:20,278,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:46:30,279,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:46:40,280,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:46:50,281,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:47:00,282,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:47:10,283,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:47:20,284,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:47:30,285,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:47:40,286,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:47:50,287,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:48:00,288,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:48:10,289,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:48:20,290,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:48:30,291,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:48:40,292,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:48:50,293,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:00,294,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:10,295,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:20,296,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:30,297,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:40,298,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:49:50,299,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:00,300,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:10,301,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:20,302,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:30,303,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:40,304,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:50:50,305,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:51:00,306,surprised-æ™—»
cut_result1c14_20180413_math_4,00:51:10,307,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:51:20,308,TS- ¶…˙ª•∂Ø
cut_result1c14_20180413_math_4,00:51:30,309,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:51:40,310,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:51:50,311,happy-œ≤‘√
cut_result1c14_20180413_math_4,00:52:00,312,Delate-…æ≥˝µƒ
cut_result1c14_20180413_math_4,00:52:10,313,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:52:20,314,disgust-—·∂Ò√Ô ”
cut_result1c14_20180413_math_4,00:52:30,315,happy-œ≤‘√
